Species	Symbol	Gene_ID
Arabidopsis_thaliana	YAB5	AT2G26580
Arabidopsis_thaliana	AtEIL1	AT2G27050
Arabidopsis_thaliana	FRS3	AT2G27110
Arabidopsis_thaliana	FRS3	AT2G27110
Arabidopsis_thaliana	ANAC040	AT2G27300
Arabidopsis_thaliana	NF-YB11	AT2G27470
Arabidopsis_thaliana	ATBHLH029	AT2G28160
Arabidopsis_thaliana	GATA13	AT2G28340
Arabidopsis_thaliana	LBD11	AT2G28500
Arabidopsis_thaliana	DOF2.1	AT2G28510
Arabidopsis_thaliana	ASL5	AT2G30130
Arabidopsis_thaliana	ATWRKY25	AT2G30250
Arabidopsis_thaliana	LBD13	AT2G30340
Arabidopsis_thaliana	WRKY21	AT2G30590
Arabidopsis_thaliana	TCP10	AT2G31070
Arabidopsis_thaliana	bHLH091	AT2G31210
Arabidopsis_thaliana	bHLH010	AT2G31220
Arabidopsis_thaliana	CPUORF7	AT2G31280
Arabidopsis_thaliana	CPUORF7	AT2G31280
Arabidopsis_thaliana	CPUORF7	AT2G31280
Arabidopsis_thaliana	LBD14	AT2G31310
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	AtbZIP59	AT2G31370
Arabidopsis_thaliana	FRS2	AT2G32250
Arabidopsis_thaliana	FRS2	AT2G32250
Arabidopsis_thaliana	FRS2	AT2G32250
Arabidopsis_thaliana	FRS2	AT2G32250
Arabidopsis_thaliana	ANAC041	AT2G33480
Arabidopsis_thaliana	ANAC041	AT2G33480
Arabidopsis_thaliana	ASR3	AT2G33550
Arabidopsis_thaliana	SPL3	AT2G33810
Arabidopsis_thaliana	CDF4	AT2G34140
Arabidopsis_thaliana	NF-YA4	AT2G34720
Arabidopsis_thaliana	ABT2	AT2G34830
Arabidopsis_thaliana	AtbZIP16	AT2G35530
Arabidopsis_thaliana	ATBPC7	AT2G35550
Arabidopsis_thaliana	ATBPC7	AT2G35550
Arabidopsis_thaliana	ATBPC7	AT2G35550
Arabidopsis_thaliana	ATBPC7	AT2G35550
Arabidopsis_thaliana	ATE2FA	AT2G36010
Arabidopsis_thaliana	ATE2FA	AT2G36010
Arabidopsis_thaliana	ATE2FA	AT2G36010
Arabidopsis_thaliana	ABI5	AT2G36270
Arabidopsis_thaliana	GPL3	AT2G36340
Arabidopsis_thaliana	NF-YB8	AT2G37060
Arabidopsis_thaliana	NF-YB8	AT2G37060
Arabidopsis_thaliana	NF-YB8	AT2G37060
Arabidopsis_thaliana	ATWRKY44	AT2G37260
Arabidopsis_thaliana	ATWRKY44	AT2G37260
Arabidopsis_thaliana	ATDOF2.4	AT2G37590
Arabidopsis_thaliana	ATWRKY33	AT2G38470
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ATHAP3	AT2G38880
Arabidopsis_thaliana	ASL11	AT2G40470
Arabidopsis_thaliana	bZIP18	AT2G40620
Arabidopsis_thaliana	ATWRKY55	AT2G40740
Arabidopsis_thaliana	ATWRKY55	AT2G40740
Arabidopsis_thaliana	ATWRKY54	AT2G40750
Arabidopsis_thaliana	BZIP17	AT2G40950
Arabidopsis_thaliana	ATBZIP12	AT2G41070
Arabidopsis_thaliana	ATBZIP12	AT2G41070
Arabidopsis_thaliana	ATBZIP12	AT2G41070
Arabidopsis_thaliana	bHLH106	AT2G41130
Arabidopsis_thaliana	BHLH100	AT2G41240
Arabidopsis_thaliana	BHLH100	AT2G41240
Arabidopsis_thaliana	AT-HSFB3	AT2G41690
Arabidopsis_thaliana	AtSPL9	AT2G42200
Arabidopsis_thaliana	AKS3	AT2G42280
Arabidopsis_thaliana	bHLH48	AT2G42300
Arabidopsis_thaliana	bHLH48	AT2G42300
Arabidopsis_thaliana	ATBZIP34	AT2G42380
Arabidopsis_thaliana	ATBZIP34	AT2G42380
Arabidopsis_thaliana	ATVOZ2	AT2G42400
Arabidopsis_thaliana	ASL18	AT2G42430
Arabidopsis_thaliana	ASL15	AT2G42440
Arabidopsis_thaliana	ANAC042	AT2G43000
Arabidopsis_thaliana	AtPIF4	AT2G43010
Arabidopsis_thaliana	AtPIF4	AT2G43010
Arabidopsis_thaliana	bHLH129	AT2G43140
Arabidopsis_thaliana	bHLH129	AT2G43140
Arabidopsis_thaliana	FRF4	AT2G43280
Arabidopsis_thaliana	NLP8	AT2G43500
Arabidopsis_thaliana	NLP8	AT2G43500
Arabidopsis_thaliana	AtWRKY12	AT2G44745
Arabidopsis_thaliana	GATA2	AT2G45050
Arabidopsis_thaliana	ATHAM1	AT2G45160
Arabidopsis_thaliana	AFO	AT2G45190
Arabidopsis_thaliana	LBD19	AT2G45410
Arabidopsis_thaliana	LBD18	AT2G45420
Arabidopsis_thaliana	TCP9	AT2G45680
Arabidopsis_thaliana	BAM7	AT2G45880
Arabidopsis_thaliana	ATWRKY43	AT2G46130
Arabidopsis_thaliana	ATWRKY43	AT2G46130
Arabidopsis_thaliana	GBF3	AT2G46270
Arabidopsis_thaliana	GBF3	AT2G46270
Arabidopsis_thaliana	ATWRKY46	AT2G46400
Arabidopsis_thaliana	AIB	AT2G46510
Arabidopsis_thaliana	DAG2	AT2G46590
Arabidopsis_thaliana	DAG2	AT2G46590
Arabidopsis_thaliana	ANAC043	AT2G46770
Arabidopsis_thaliana	MYC70	AT2G46810
Arabidopsis_thaliana	PIL1	AT2G46970
Arabidopsis_thaliana	SPL1	AT2G47070
Arabidopsis_thaliana	ATWRKY23	AT2G47260
Arabidopsis_thaliana	NF-YB5	AT2G47810
Arabidopsis_thaliana	ATWRKY58	AT3G01080
Arabidopsis_thaliana	DEL3	AT3G01330
Arabidopsis_thaliana	anac044	AT3G01600
Arabidopsis_thaliana	ATWRKY45	AT3G01970
Arabidopsis_thaliana	A-PTF-1	AT3G02150
Arabidopsis_thaliana	A-PTF-1	AT3G02150
Arabidopsis_thaliana	LBD41	AT3G02550
Arabidopsis_thaliana	ATHSFA1E	AT3G02990
Arabidopsis_thaliana	anac045	AT3G03200
Arabidopsis_thaliana	RGL2	AT3G03450
Arabidopsis_thaliana	LBD20	AT3G03760
Arabidopsis_thaliana	anac046	AT3G04060
Arabidopsis_thaliana	ANAC047	AT3G04070
Arabidopsis_thaliana	ANAC047	AT3G04070
Arabidopsis_thaliana	anac048	AT3G04420
Arabidopsis_thaliana	anac048	AT3G04420
Arabidopsis_thaliana	anac049	AT3G04430
Arabidopsis_thaliana	ATWRKY39	AT3G04670
Arabidopsis_thaliana	ATWRKY39	AT3G04670
Arabidopsis_thaliana	TCX4	AT3G04850
Arabidopsis_thaliana	ATHAP2B	AT3G05690
Arabidopsis_thaliana	MUTE	AT3G06120
Arabidopsis_thaliana	FRS7	AT3G06250
Arabidopsis_thaliana	AIF2	AT3G06590
Arabidopsis_thaliana	AIF2	AT3G06590
Arabidopsis_thaliana	GATA15	AT3G06740
Arabidopsis_thaliana	CIB3	AT3G07340
Arabidopsis_thaliana	FRF2	AT3G07500
Arabidopsis_thaliana	EDA31	AT3G10000
Arabidopsis_thaliana	EDA31	AT3G10000
Arabidopsis_thaliana	HRA1	AT3G10040
Arabidopsis_thaliana	ANAC050	AT3G10480
Arabidopsis_thaliana	ANAC050	AT3G10480
Arabidopsis_thaliana	ANAC050	AT3G10480
Arabidopsis_thaliana	ANAC051	AT3G10490
Arabidopsis_thaliana	ANAC051	AT3G10490
Arabidopsis_thaliana	AIF	AT3G10500
Arabidopsis_thaliana	BZIP28	AT3G10800
Arabidopsis_thaliana	LBD21	AT3G11090
Arabidopsis_thaliana	AITF1	AT3G11100
Arabidopsis_thaliana	BZIP45	AT3G12250
Arabidopsis_thaliana	BZIP45	AT3G12250
Arabidopsis_thaliana	BZIP45	AT3G12250
Arabidopsis_thaliana	BZIP45	AT3G12250
Arabidopsis_thaliana	BZIP45	AT3G12250
Arabidopsis_thaliana	NF-YC11	AT3G12480
Arabidopsis_thaliana	NAC1L	AT3G12977
Arabidopsis_thaliana	LBD22	AT3G13850
Arabidopsis_thaliana	NF-YA6	AT3G14020
Arabidopsis_thaliana	ASIL2	AT3G14180
